Type: 1, SNR: 10.000000, BER: 4.609375e-02
Type: 1, SNR: 15.000000, BER: 1.210938e-02
Type: 1, SNR: 20.000000, BER: 7.812500e-04
Type: 1, SNR: 25.000000, BER: 0.000000e+00
Type: 1, SNR: 30.000000, BER: 0.000000e+00
Type: 2, SNR: 10.000000, BER: 6.015625e-02
Type: 2, SNR: 15.000000, BER: 6.250000e-03
Type: 2, SNR: 20.000000, BER: 0.000000e+00
Type: 2, SNR: 25.000000, BER: 0.000000e+00
Type: 2, SNR: 30.000000, BER: 0.000000e+00
Type: 1, SNR: 10.000000, BER: 6.223438e-02
Type: 1, SNR: 20.000000, BER: 7.578125e-04
Type: 1, SNR: 30.000000, BER: 0.000000e+00
Type: 2, SNR: 10.000000, BER: 6.066406e-02
Type: 2, SNR: 20.000000, BER: 4.648437e-04
Type: 2, SNR: 30.000000, BER: 0.000000e+00
Date: 2025_June_17_13-54-46: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 7.741211e-02
Date: 2025_June_17_14-13-40: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 3.646484e-03
Date: 2025_June_17_16-13-01: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.989258e-03
Date: 2025_June_17_18-11-49: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 5.859375e-06
Date: 2025_June_17_20-11-32: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.289746e-02
Date: 2025_June_17_22-10-51: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 4.277344e-04
Date: 2025_June_17_22-26-13: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 5.373047e-03
Date: 2025_June_17_22-41-34: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 5.039063e-04
Date: 2025_June_17_22-56-37: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 5.965430e-02
Date: 2025_June_17_23-11-41: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 1.058594e-03
